cpu,memory,disk,label,cpu_memory_ratio
66.7,40.4,14.2,Medium,1.6111111111111112
42.4,40.9,14.2,Medium,1.0119331742243436
31.1,41.0,14.2,Medium,0.7404761904761905
23.0,41.0,14.2,Light,0.5476190476190477
19.3,40.8,14.2,Light,0.46172248803827753
22.2,40.8,14.2,Light,0.5311004784688995
12.4,40.7,14.2,Light,0.2973621103117506
9.6,40.7,14.2,Light,0.23021582733812948
8.6,40.6,14.2,Light,0.20673076923076922
6.4,40.6,14.2,Light,0.15384615384615385
13.7,40.6,14.2,Light,0.3293269230769231
8.2,40.5,14.2,Light,0.19759036144578312
10.7,40.5,14.2,Light,0.2578313253012048
8.9,40.5,14.2,Light,0.21445783132530122
9.0,40.4,14.2,Light,0.21739130434782608
7.1,40.4,14.2,Light,0.1714975845410628
8.2,40.4,14.2,Light,0.19806763285024154
8.0,40.4,14.2,Light,0.1932367149758454
7.4,40.4,14.2,Light,0.17874396135265702
8.4,40.4,14.2,Light,0.2028985507246377
8.0,40.4,14.2,Light,0.1932367149758454
7.1,40.3,14.2,Light,0.17191283292978207
10.0,40.3,14.2,Light,0.2421307506053269
7.8,40.3,14.2,Light,0.18886198547215496
7.1,40.4,14.2,Light,0.1714975845410628
7.7,40.4,14.2,Light,0.18599033816425123
7.4,40.4,14.2,Light,0.17874396135265702
7.9,40.4,14.2,Light,0.19082125603864736
8.4,40.4,14.2,Light,0.2028985507246377
6.6,40.4,14.2,Light,0.15942028985507245
